commit	em	f1	status	description
09822ca	0.320	0.393	keep	baseline (instruct, bamboogle, seed 1, on index_modifications)
ab0220f	0.336	0.406	keep	temperature=0 (greedy) for deterministic eval
caf2a9e	0.320	0.433	discard	retrieval_topk 3 -> 5
98ca7b0	0.296	0.379	discard	max_obs_length 500 -> 750
91ac011	0.328	0.411	discard	max_search_turns 4 -> 5
060e9e2	0.304	0.402	discard	topk 3->5 + max_obs_length 500->833
dfed93f	0.272	0.373	discard	multi-query retrieval (model query + question, interleave-dedup)
f44f417	0.328	0.398	discard	fix partial </search>/</answer> stop tokens (real bug, but greedy noise net -1pp)
d658376	0.216	0.318	discard	query expansion (append question to retrieval query)
ea8dff6	0.328	0.416	discard	drop default system message in chat template
46d80c2	0.320	0.399	discard	fix partial </answer stop only (run noise overwhelmed +1-3pp gain)
f2c3f43	0.312	0.401	discard	serialize inference (max_workers=1) — "true" greedy actually lower than batched
62b0ec0	0.312	0.391	discard	repetition_penalty 1.05
